Path;SteerAngle;Throttle;Brake;Speed;X_Position;Y_Position;Pitch;Yaw;Roll
/Users/bveber/robond/RoboND-Rover-Project/dataset/IMG/robocam_2018_08_28_17_40_37_775.jpg;0;0;1;0;99.66999;85.58897;0.0002359015;56.82556;-3.314796E-07
/Users/bveber/robond/RoboND-Rover-Project/dataset/IMG/robocam_2018_08_28_17_40_37_838.jpg;0;0;0;0;99.66999;85.58897;0.0002360756;56.82556;-1.682639E-07
/Users/bveber/robond/RoboND-Rover-Project/dataset/IMG/robocam_2018_08_28_17_40_37_905.jpg;0;0;0;0;99.66999;85.58897;0.0002360299;56.82556;-1.48449E-08
/Users/bveber/robond/RoboND-Rover-Project/dataset/IMG/robocam_2018_08_28_17_40_37_971.jpg;0;0;0;0;99.66999;85.58897;0.0002360756;56.82556;-1.682639E-07
/Users/bveber/robond/RoboND-Rover-Project/dataset/IMG/robocam_2018_08_28_17_40_38_038.jpg;0;0;0;0;99.66999;85.58897;0.0002360451;56.82556;-6.598455E-08
/Users/bveber/robond/RoboND-Rover-Project/dataset/IMG/robocam_2018_08_28_17_40_38_105.jpg;0;0;0;0;99.66999;85.58897;0.0002360603;56.82556;-1.171242E-07
/Users/bveber/robond/RoboND-Rover-Project/dataset/IMG/robocam_2018_08_28_17_40_38_171.jpg;0;0;0;0;99.66999;85.58897;0.0002360451;56.82556;-6.598455E-08
/Users/bveber/robond/RoboND-Rover-Project/dataset/IMG/robocam_2018_08_28_17_40_38_238.jpg;0;0;0;0;99.66999;85.58897;0.0002360603;56.82556;-1.171242E-07
/Users/bveber/robond/RoboND-Rover-Project/dataset/IMG/robocam_2018_08_28_17_40_38_305.jpg;0;0;0;0;99.66999;85.58897;0.0002360603;56.82556;-1.171242E-07
/Users/bveber/robond/RoboND-Rover-Project/dataset/IMG/robocam_2018_08_28_17_40_38_371.jpg;0;0;0;0;99.66999;85.58897;0.0002360603;56.82556;-1.171242E-07
/Users/bveber/robond/RoboND-Rover-Project/dataset/IMG/robocam_2018_08_28_17_40_38_438.jpg;0;0;0;0;99.66999;85.58897;0.0002360908;56.82556;-2.194035E-07
/Users/bveber/robond/RoboND-Rover-Project/dataset/IMG/robocam_2018_08_28_17_40_38_505.jpg;0;0;0;0;99.66999;85.58897;0.0002360451;56.82556;-6.598455E-08
/Users/bveber/robond/RoboND-Rover-Project/dataset/IMG/robocam_2018_08_28_17_40_38_571.jpg;0;0;0;0;99.66999;85.58897;0.0002360908;56.82556;-2.194035E-07
/Users/bveber/robond/RoboND-Rover-Project/dataset/IMG/robocam_2018_08_28_17_40_38_638.jpg;0;0;0;0;99.66999;85.58897;0.0002360299;56.82556;-1.48449E-08
/Users/bveber/robond/RoboND-Rover-Project/dataset/IMG/robocam_2018_08_28_17_40_38_705.jpg;0;0;0;0;99.66999;85.58897;0.0002360756;56.82556;-1.682639E-07
/Users/bveber/robond/RoboND-Rover-Project/dataset/IMG/robocam_2018_08_28_17_40_38_771.jpg;0;0;0;0;99.66999;85.58897;0.0002360299;56.82556;-1.48449E-08
/Users/bveber/robond/RoboND-Rover-Project/dataset/IMG/robocam_2018_08_28_17_40_38_838.jpg;0;0;0;0;99.66999;85.58897;0.0002360603;56.82556;-1.171242E-07
/Users/bveber/robond/RoboND-Rover-Project/dataset/IMG/robocam_2018_08_28_17_40_38_905.jpg;0;0;0;0;99.66999;85.58897;0.0002360603;56.82556;-1.171242E-07
/Users/bveber/robond/RoboND-Rover-Project/dataset/IMG/robocam_2018_08_28_17_40_38_971.jpg;0;0;0;0;99.66999;85.58897;0.0002358558;56.82556;-1.780541E-07
/Users/bveber/robond/RoboND-Rover-Project/dataset/IMG/robocam_2018_08_28_17_40_39_038.jpg;0;0;0;0;99.66999;85.58897;0.0002359319;56.82556;-4.337589E-07
